epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.956,0.9221,2.86769,1.24989,0.94951,0.1464,0.21716,0.16749,0.98021,2.8171,1.20899,0.000272222,0.000272222,0.000272222
2,1196.6,0.82907,1.61441,1.19014,0.92355,0.22788,0.29154,0.21248,0.90982,2.05857,1.19661,0.000368426,0.000368426,0.000368426
3,1407.64,0.83756,1.41339,1.16095,0.93152,0.2732,0.31668,0.2369,0.79795,1.54187,1.13296,0.000281369,0.000281369,0.000281369
