epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7371.99,1.36217,2.59631,1.29161,0.46531,0.70525,0.56638,0.40214,0.75898,16.2032,0.82059,0.000165598,0.000165598,0.000165598
2,14700.6,1.12115,1.28192,1.1143,0.57935,0.77337,0.6445,0.45621,0.77071,7.55402,0.82955,0.000325686,0.000325686,0.000325686
