epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.553,1.45246,3.63993,1.36469,0.40481,0.36384,0.2872,0.19162,1.17502,2.63631,1.1421,0.000173679,0.000173679,0.000173679
2,1001.46,1.24481,1.98406,1.17057,0.43632,0.6378,0.4888,0.33272,1.09885,1.64663,1.11448,0.000233838,0.000233838,0.000233838
3,1465.83,1.14744,1.55912,1.12271,0.50755,0.76183,0.56535,0.39928,1.00139,1.4404,1.05557,0.000178278,0.000178278,0.000178278
