epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1300.92,1.35624,3.45859,1.36787,0.33496,0.57858,0.37186,0.24743,0.88084,40.1702,0.94735,0.000165598,0.000165598,0.000165598
2,5540.4,1.18698,1.92758,1.19234,0.48168,0.7077,0.5835,0.40758,0.81475,38.9196,0.89223,0.000325686,0.000325686,0.000325686
3,10275.3,1.14298,1.60604,1.16347,0.55924,0.77123,0.65319,0.47353,0.75172,34.4302,0.85407,0.000479174,0.000479174,0.000479174
4,16626.8,1.10474,1.47488,1.13216,0.6122,0.82618,0.67439,0.48223,0.77191,30.7501,0.86007,0.0004703,0.0004703,0.0004703
5,29159.6,1.07418,1.37236,1.1234,0.60883,0.82369,0.67129,0.49808,0.71909,26.1933,0.83897,0.0004604,0.0004604,0.0004604
